company_name,ticker,fiscal_year,revenue,net_income,operating_cash_flow,capital_expenditures,current_assets,current_liabilities,long_term_debt,total_assets,total_liabilities,shareholders_equity,diluted_weighted_average_shares,diluted_eps,stock_price
Microsoft,MSFT,2022,198270,72738,89035,23886,169684,95082,47032,364840,198298,166542,7540,9.65,248.49
Microsoft,MSFT,2023,211915,72361,87582,28107,184257,104149,41990,411976,205753,206223,7472,9.68,332.67
Microsoft,MSFT,2024,245122,88136,118548,44477,159734,125286,42688,512163,243686,268477,7469,11.80,440.03
Microsoft,MSFT,2025,281724,101832,136162,64551,191131,141218,40152,619003,275524,343479,7465,13.64,493.47
